-12.3783897714256	-11.8648657809518	-11.4769044464313	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-12.2958747598367	-11.7401770716909	-11.2870822733045	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-12.0674333134259	-11.3993943158937	-10.7829003287756	-15.008	Inf	Inf	Inf	Inf	Inf	Inf	Inf	-15.008	Inf	Inf	Inf
-11.7426825684359	-10.9239408749046	-13.2423529411765	-18.0096	-25.0133333333333	Inf	Inf	Inf	Inf	Inf	-25.0133333333333	-18.0096	-13.2423529411765	Inf	Inf
-11.3848820320775	-11.5446153846154	-14.6419512195122	-18.76	-24.0128	-30.016	Inf	Inf	Inf	-30.016	-24.0128	-18.76	-14.6419512195122	-11.5446153846154	Inf
-11.0566887916721	-12.3016393442623	-15.008	-18.3024390243902	-22.0705882352941	-25.8758620689655	-28.8615384615385	-30.016	-28.8615384615385	-25.8758620689655	-22.0705882352941	-18.3024390243902	-15.008	-12.3016393442623	Inf
-10.8155823602432	-12.5066666666667	-14.7619672131147	-17.3169230769231	-20.0106666666667	-22.512	-24.3372972972973	-25.0133333333333	-24.3372972972973	-22.512	-20.0106666666667	-17.3169230769231	-14.7619672131148	-12.5066666666667	Inf
-10.72	-12.3595294117647	-14.1967567567568	-16.1624615384615	-18.1131034482759	-19.8218867924528	-21.0112	-21.44	-21.0112	-19.8218867924528	-18.1131034482759	-16.1624615384615	-14.1967567567568	-12.3595294117647	-10.72
-10.847823069052	-12.0064	-13.4903370786517	-15.008	-16.4471232876712	-17.6564705882353	-18.4713846153846	-18.76	-18.4713846153846	-17.6564705882353	-16.4471232876712	-15.008	-13.4903370786517	-12.0064	Inf
-11.3416754927869	-11.5446153846154	-12.742641509434	-13.9249484536083	-15.008	-15.8908235294118	-16.4721951219512	-16.6755555555556	-16.4721951219512	-15.8908235294118	-15.008	-13.9249484536083	-12.742641509434	-11.5446153846154	Inf
-12.5539038441367	-11.0352941176471	-12.0064	-12.9379310344828	-13.7688073394495	-14.4307692307692	-14.8594059405941	-15.008	-14.8594059405941	-14.4307692307692	-13.7688073394495	-12.9379310344828	-12.0064	-11.0352941176471	Inf
-15.8019151826263	-11.5077903613374	-11.307397260274	-12.0502189781022	-12.6990769230769	-13.20704	-13.5318032786885	-13.6436363636364	-13.5318032786885	-13.20704	-12.6990769230769	-12.0502189781022	-11.307397260274	Inf	Inf
Inf	Inf	-11.1088113333307	-11.256	-11.7709803921569	-12.1686486486487	-12.4204137931034	-12.5066666666667	-12.4204137931034	-12.1686486486486	-11.7709803921569	-11.256	Inf	Inf	Inf
Inf	Inf	Inf	Inf	-10.9608988764045	-11.2776878612717	-11.4767058823529	-11.5446153846154	-11.4767058823529	-11.2776878612717	-10.9608988764045	Inf	Inf	Inf	Inf
Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
