-21.44	-25.0133333333333	-30.016	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-21.0112	-24.3372972972973	-28.8615384615385	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-19.8218867924528	-22.512	-25.8758620689655	-30.016	Inf	Inf	Inf	Inf	Inf	Inf	Inf	-30.016	Inf	Inf	Inf
-18.1131034482759	-20.0106666666667	-22.0705882352941	-24.0128	-25.0133333333333	Inf	Inf	Inf	Inf	Inf	-25.0133333333333	-24.0128	-22.0705882352941	Inf	Inf
-16.1624615384615	-17.3169230769231	-18.3024390243902	-18.76	-18.0096	-15.008	Inf	Inf	Inf	-15.008	-18.0096	-18.76	-18.3024390243902	-17.3169230769231	Inf
-14.1967567567568	-14.7619672131148	-15.008	-14.6419512195122	-13.2423529411765	-10.7829003287756	-11.2870822733045	-11.4769044464313	-11.2870822733045	-10.7829003287756	-13.2423529411765	-14.6419512195122	-15.008	-14.7619672131148	Inf
-12.3595294117647	-12.5066666666667	-12.3016393442623	-11.5446153846154	-10.9239408749046	-11.3993943158937	-11.7401770716909	-11.8648657809518	-11.7401770716909	-11.3993943158937	-10.9239408749046	-11.5446153846154	-12.3016393442623	-12.5066666666667	Inf
-10.72	-10.8155823602432	-11.0566887916721	-11.3848820320775	-11.7426825684359	-12.0674333134259	-12.2958747598367	-12.3783897714256	-12.2958747598367	-12.0674333134259	-11.7426825684359	-11.3848820320775	-11.0566887916721	-10.8155823602432	-10.72
-12.3975120789165	-12.2539806865633	-12.3034218741834	-12.4634656164493	-12.6706478887068	-12.8692538290939	-13.0112937509457	-13.0627873029156	-13.0112937509458	-12.8692538290939	-12.6706478887068	-12.4634656164493	-12.3034218741834	-12.2539806865633	Inf
-14.5821542050117	-14.0494348245746	-13.8290116701659	-13.7835747570582	-13.8290116701659	-13.9057487488841	-13.9703079230911	-13.9950321620706	-13.9703079230911	-13.9057487488841	-13.8290116701659	-13.7835747570582	-13.8290116701659	-14.0494348245747	Inf
-17.9341483487668	-16.6141352527322	-15.9308386913072	-15.5793320205616	-15.4116786792734	-15.3430689852548	-15.3214663430597	-15.3174758582041	-15.3214663430597	-15.3430689852548	-15.4116786792734	-15.5793320205616	-15.9308386913072	-16.6141352527322	Inf
-24.8315810012698	-21.0976156624519	-19.3220889083148	-18.362390407223	-17.8226329172366	-17.5239225604379	-17.3747966726277	-17.3297456799958	-17.3747966726277	-17.5239225604379	-17.8226329172366	-18.362390407223	-19.3220889083148	Inf	Inf
Inf	Inf	-26.6611471999935	-23.7297315619035	-22.2036372712026	-21.3674448003803	-20.9428112168182	-20.8123513623706	-20.9428112168182	-21.3674448003803	-22.2036372712026	-23.7297315619035	Inf	Inf	Inf
Inf	Inf	Inf	Inf	-34.4683043967935	-30.9299489905647	-29.3464139105916	-28.8829094666597	-29.3464139105916	-30.9299489905647	-34.4683043967935	Inf	Inf	Inf	Inf
Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
